Section,,PACK DE PERSONNALISATION,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,SÉCURITÉ,EQUIPEMENTS,EQUIPEMENTS,EQUIPEMENTS,LIGNES ET STYLE,KITS DÉCORS,RÉTROVISEURS,PACKS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,FINITION,PRICE,VALIDITY,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,LIGNES ET STYLE,RÉTROVISEURS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,SÉCURITÉ,EQUIPEMENTS,LIGNES ET STYLE,LIGNES ET STYLE,LIGNES ET STYLE,RÉTROVISEURS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE,CONFORT ET FONCTIONNALITÉ,SÉCURITÉ,PACKS,SYSTÈMES AUDIO ET TÉLÉMATIQUE,SYSTÈMES AUDIO ET TÉLÉMATIQUE
Title,,Pack Color Anodised Blue,Volant croute de cuir,Sièges AV réglables hauteur + Lombaire conducteur,Essuie-vitre avant automatique,Aide au stationnement arrière,"Chargeur embarqué 7,4 kW monophasé",My Citroën Play : Système audio numérique sur tablette tactile 10?? avec fonction Mirror Screen.,Système audio numérique (DAB) MP3 6 HP,Poignées de portes extérieures Noir Brillant,Décor Bleu sur les panneaux intérieurs de porte,Rétroviseurs extérieurs électriques et dégivrants,Pack Safety,Combiné numérique couleur,,,,Tiroir de planche de bord,Caméra de recul avec Top Rear Vision,Poignées de portes extérieures couleur caisse,"Rétros éléc. et dégi, rabattables électriquement",Combiné numérique couleur avec rétro-éclairage,My Citroën Drive : navigation sur tablette tactile 10',Accoudoir central arrière avec trappe à ski,Volant chauffant,Volant cuir pleine fleur,Accès et démarrage mains libres Proximity,Système de surveillance d'angle mort,Commutation automatique des feux de route,Rég. de vitesse adaptatif avec fonction Stop & Go,Suspensions Citroën Advanced Comfort,Affichage tête haute couleur,Essuie-vitre avant automatique,Jonc chromé sur les lécheurs de vitres latérales,Vitres et lunette arrière surteintées,Feux diurnes à LED,Rétroviseur intérieur électrochrome,Kit mains libres Bluetooth et prise USB RANG 1 (type A),Smart Pad Support Citroën,Sièges avant chauffants,Caméra de recul Top Rear Vision,Highway Driver Assist,Recharge sans fil pour smartphone,HiFi System
PAGE #,CAR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36500,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,False,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36500,2022-05-30 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,3,True,True,True,True,False,True,True,True,True,False,True,True,True,FEEL,36550,2022-05-27 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,4,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36800,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36800,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,6,True,True,True,True,True,True,True,True,True,True,True,True,True,FEEL,36950,2022-05-11 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,7,True,True,True,True,True,False,True,True,True,True,True,True,True,FEEL,37000,2022-05-20 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,8,True,True,False,True,True,True,True,True,True,True,True,True,True,FEEL,37050,2022-05-30 00:00:00+00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
